,CBS_Class,CBS_MY_Order,CBS_MY_Rate,CBS_XS_MY,CBS_DXPZ,CBS_XSCS,CBS_CRTAX,Book_Class,CBS_BK_Average_price,CBS_BK_MY_Order,CBS_BK_MY_Rate,CBS_BK_XS_MY,CBS_BK_DXPZ,CBS_BK_XSCS,FXS_Class,User_Area,User_Get_Price,FXS_Discount,FXS_BK_MY_Order,FXS_BK_MY_Rate,FXS_BK_MY,FXS_BK_DXPZ,FXS_BK_XSCS,FXS_BK_Average_Price
140,1,5,1.5358,141636472.4,4048,3032165,0.07,1,48.77,2,5.3633,97120394.8,2534,1991589,3,2,9.0,0.585,2,6.1412,26726830.2,1925,529670,50.46
141,1,5,1.5358,141636472.4,4048,3032165,0.08,5,63.57,99,0.0529,337155.0,6,5304,3,2,9.0,0.585,89,0.0691,79750.0,3,1251,63.75
142,1,5,1.5358,141636472.4,4048,3032165,0.07,3,42.2,9,2.1679,36329020.8,864,860807,3,2,9.0,0.585,11,2.1057,7796215.4,703,180881,43.1
143,1,5,1.5358,141636472.4,4048,3032165,0.08,7,46.4,94,0.1084,664948.0,72,14331,3,2,9.0,0.585,83,0.1207,215669.0,65,4421,48.78
144,1,5,1.5358,141636472.4,4048,3032165,0.07,2,44.13,72,0.2814,4713552.6,302,106817,3,2,9.0,0.585,45,0.4304,1236396.2,194,28930,42.74
145,1,5,1.5358,141636472.4,4048,3032165,0.07,4,46.36,46,0.5417,2470321.2,269,53287,3,2,9.0,0.585,47,0.5165,583541.5,206,12356,47.23
146,1,5,1.5358,141636472.4,4048,3032165,0.07,8,36.0,67,0.0128,1080.0,1,30,3,2,9.0,0.585,66,0.0056,180.0,1,5,36.0
147,1,5,1.5358,141636472.4,4048,3032165,0.07,1,48.77,2,5.3633,97120394.8,2534,1991589,4,3,9.0,0.585,2,4.8288,14698102.4,1940,299102,49.14
148,1,5,1.5358,141636472.4,4048,3032165,0.08,5,63.57,99,0.0529,337155.0,6,5304,4,3,9.0,0.585,109,0.0427,39861.0,4,642,62.09
149,1,5,1.5358,141636472.4,4048,3032165,0.07,3,42.2,9,2.1679,36329020.8,864,860807,4,3,9.0,0.585,10,1.9861,5517313.4,707,129859,42.49
